user_id,article_id,interaction_type,timestamp,duration_seconds,topic
User_0,https://openalex.org/W2073775990,read,2025-05-13 02:22:52,208,Bioinformatics
User_0,https://openalex.org/W2116199508,read,2025-05-21 16:26:09,509,Bioinformatics
User_0,https://openalex.org/W1988091937,click,2025-05-08 14:47:26,0,Genomics
User_0,https://openalex.org/W2017196167,click,2025-05-21 04:49:08,0,Bioinformatics
User_0,https://openalex.org/W2150066425,click,2025-05-05 18:44:12,0,Bioinformatics
User_0,https://openalex.org/W2164278908,cite,2025-05-17 08:28:57,0,Genomics
User_0,https://openalex.org/W2138621811,cite,2025-05-22 23:01:01,0,Genomics
User_0,https://openalex.org/W2799524357,read,2025-05-24 18:33:20,145,Genomics
User_0,https://openalex.org/W3125349408,cite,2025-05-18 13:10:09,0,Bioinformatics
User_0,https://openalex.org/W2141157874,read,2025-05-05 09:38:32,556,Bioinformatics
User_0,https://openalex.org/W4301958211,read,2025-05-22 05:15:28,357,Bioinformatics
User_0,https://openalex.org/W3005235420,read,2025-05-17 10:39:31,138,Genomics
User_0,https://openalex.org/W1966078827,click,2025-05-23 09:53:27,0,Bioinformatics
User_0,https://openalex.org/W2084744129,read,2025-05-16 01:45:48,392,Genomics
User_0,https://openalex.org/W2141052558,read,2025-04-29 04:14:02,45,Bioinformatics
User_0,https://openalex.org/W2096093282,cite,2025-05-04 14:38:43,0,Genomics
User_0,https://openalex.org/W2139122730,cite,2025-05-24 08:31:42,0,Genomics
User_0,https://openalex.org/W2964350391,read,2025-05-17 01:55:47,154,Bioinformatics
User_0,https://openalex.org/W2725897987,read,2025-05-17 08:22:20,586,Bioinformatics
User_0,https://openalex.org/W2047940964,click,2025-05-23 09:00:56,0,Genomics
User_0,https://openalex.org/W2156046656,click,2025-05-27 19:02:23,0,Genomics
User_1,https://openalex.org/W3123035919,click,2025-05-05 20:11:46,0,Grip strength
User_1,https://openalex.org/W2493916176,cite,2025-05-08 00:28:20,0,FLOPS
User_1,https://openalex.org/W2031611770,read,2025-05-07 19:14:35,383,"Diabetes, Cardiovascular Risks, and Lipoproteins"
User_1,https://openalex.org/W2147880316,read,2025-05-15 15:58:31,233,Bidirectional search
User_1,https://openalex.org/W2152885278,read,2025-05-03 14:46:54,251,"Foucault, Power, and Ethics"
User_1,https://openalex.org/W3118608800,read,2025-05-11 10:47:19,558,Graphene research and applications
User_1,https://openalex.org/W2145023731,read,2025-05-04 04:35:28,593,Graphene and Nanomaterials Applications
User_1,https://openalex.org/W2079325629,cite,2025-05-25 08:06:29,0,Feature matching
User_1,https://openalex.org/W2024060531,cite,2025-05-15 14:28:52,0,Educational Challenges and Innovations
User_1,https://openalex.org/W2159080219,read,2025-05-25 23:02:42,326,Negative feedback
User_1,https://openalex.org/W2098126593,click,2025-05-23 06:20:58,0,Phylogenetic network
User_1,https://openalex.org/W2041280856,click,2025-05-17 12:50:22,0,Base pair
User_1,https://openalex.org/W2044465660,read,2025-05-24 19:53:32,224,Sampling (signal processing)
User_1,https://openalex.org/W2168356304,read,2025-05-07 14:16:07,572,Bandwidth (computing)
User_1,https://openalex.org/W2168356304,read,2025-05-16 08:54:15,192,Environmental economics
User_1,https://openalex.org/W2085261163,read,2025-05-05 00:49:32,461,Foreign policy
User_1,https://openalex.org/W2163352848,read,2025-05-10 15:31:39,247,Nuclear magnetic resonance
User_1,https://openalex.org/W1985749074,read,2025-05-25 03:11:21,230,Nitrocellulose
User_1,https://openalex.org/W2963073614,read,2025-04-30 16:24:56,360,Density functional theory
User_1,https://openalex.org/W2053186076,read,2025-05-05 04:19:53,587,Visual cortex
User_1,https://openalex.org/W2985849463,click,2025-05-28 16:46:31,0,Educational Assessment and Pedagogy
User_1,https://openalex.org/W2041282815,read,2025-05-11 11:02:26,488,Tree rearrangement
User_1,https://openalex.org/W2963150697,click,2025-05-10 04:08:41,0,Linear network coding
User_1,https://openalex.org/W2019207321,click,2025-05-14 01:48:41,0,HIV Research and Treatment
User_1,https://openalex.org/W3123035919,read,2025-05-23 10:17:02,423,Coronal plane
User_1,https://openalex.org/W2160547390,click,2025-05-06 16:52:28,0,Organizational theory
User_1,https://openalex.org/W2100495367,cite,2025-05-13 14:12:35,0,Signal reconstruction
User_1,https://openalex.org/W2162437324,read,2025-05-25 08:41:37,366,advanced mathematical theories
User_1,https://openalex.org/W2950577311,cite,2025-04-30 14:36:19,0,Electromagnetic field
